sample_size,trial,mi_empirical,mi_miller,mi_chao
16384,16,1.0,0.980926513671875,0.9990270965140622
16384,17,1.0,0.98089599609375,0.9992370980489521
16384,18,1.0,0.98126220703125,0.9991102378198182
16384,19,1.0,0.981201171875,0.9995509793428267
16384,20,1.0,0.98089599609375,0.9994480176864511
16384,21,1.0,0.981048583984375,0.9993107260159493
16384,22,1.0,0.981109619140625,0.9992726175043679
16384,23,1.0,0.9810791015625,0.9996514548611483
16384,24,1.0,0.980987548828125,0.9993110336493916
16384,25,1.0,0.98089599609375,0.9994092518795668
16384,26,1.0,0.980804443359375,0.9993704876308573
16384,27,1.0,0.98052978515625,0.9991603824716907
16384,28,1.0,0.980987548828125,0.9993846642816129
16384,29,1.0,0.9810791015625,0.9992276347174969
32768,0,1.0,0.9897613525390625,0.9997000104346675
32768,1,1.0,0.98968505859375,0.999619718142027
32768,2,1.0,0.989959716796875,0.999533539943493
32768,3,1.0,0.989959716796875,0.999709691550381
32768,4,1.0,0.989959716796875,0.9996466226706224
32768,5,1.0,0.989898681640625,0.9996918637762002
32768,6,1.0,0.989990234375,0.9997172429404169
32768,7,1.0,0.9898223876953125,0.9997234336283372
32768,8,1.0,0.98968505859375,0.9996399155620019
32768,9,1.0,0.98980712890625,0.9997320515977437
32768,10,1.0,0.9897613525390625,0.9996019841390587
32768,11,1.0,0.9898834228515625,0.9997783699567977
32768,12,1.0,0.989593505859375,0.999578718952474
32768,13,1.0,0.989837646484375,0.9992560940294978
32768,14,1.0,0.989776611328125,0.9997076716805833
32768,15,1.0,0.9898834228515625,0.999831498350422
32768,16,1.0,0.989898681640625,0.9997296613239925
